id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,distance_metric,accuracy
79,hc,gaussian,5,3,,2.5,min,66.0
79,hc,gaussian,5,3,,2.5,max,97.0
79,hc,gaussian,5,3,,2.5,avg,97.0
79,hc,gaussian,5,3,,2.5,mean,97.0
80,hc,gaussian,5,4,,0.5,min,100.0
80,hc,gaussian,5,4,,0.5,max,100.0
80,hc,gaussian,5,4,,0.5,avg,100.0
80,hc,gaussian,5,4,,0.5,mean,100.0
81,hc,gaussian,5,4,,1.0,min,100.0
81,hc,gaussian,5,4,,1.0,max,100.0
81,hc,gaussian,5,4,,1.0,avg,100.0
81,hc,gaussian,5,4,,1.0,mean,100.0
82,hc,gaussian,5,4,,2.0,min,74.0
82,hc,gaussian,5,4,,2.0,max,100.0
82,hc,gaussian,5,4,,2.0,avg,100.0
82,hc,gaussian,5,4,,2.0,mean,100.0
83,hc,gaussian,5,4,,2.5,min,51.0
83,hc,gaussian,5,4,,2.5,max,99.0
83,hc,gaussian,5,4,,2.5,avg,100.0
83,hc,gaussian,5,4,,2.5,mean,100.0
84,hc,gaussian,5,5,,0.5,min,100.0
84,hc,gaussian,5,5,,0.5,max,100.0
84,hc,gaussian,5,5,,0.5,avg,100.0
84,hc,gaussian,5,5,,0.5,mean,100.0
85,hc,gaussian,5,5,,1.0,min,100.0
85,hc,gaussian,5,5,,1.0,max,100.0
85,hc,gaussian,5,5,,1.0,avg,100.0
85,hc,gaussian,5,5,,1.0,mean,100.0
86,hc,gaussian,5,5,,2.0,min,62.0
86,hc,gaussian,5,5,,2.0,max,99.0
86,hc,gaussian,5,5,,2.0,avg,100.0
86,hc,gaussian,5,5,,2.0,mean,100.0
87,hc,gaussian,5,5,,2.5,min,23.0
87,hc,gaussian,5,5,,2.5,max,96.0
87,hc,gaussian,5,5,,2.5,avg,95.0
87,hc,gaussian,5,5,,2.5,mean,97.0
88,hc,gaussian,5,6,,0.5,min,100.0
88,hc,gaussian,5,6,,0.5,max,100.0
88,hc,gaussian,5,6,,0.5,avg,100.0
88,hc,gaussian,5,6,,0.5,mean,100.0
89,hc,gaussian,5,6,,1.0,min,100.0
89,hc,gaussian,5,6,,1.0,max,100.0
89,hc,gaussian,5,6,,1.0,avg,100.0
89,hc,gaussian,5,6,,1.0,mean,100.0
90,hc,gaussian,5,6,,2.0,min,83.0
90,hc,gaussian,5,6,,2.0,max,100.0
90,hc,gaussian,5,6,,2.0,avg,100.0
90,hc,gaussian,5,6,,2.0,mean,100.0
91,hc,gaussian,5,6,,2.5,min,36.0
91,hc,gaussian,5,6,,2.5,max,99.0
91,hc,gaussian,5,6,,2.5,avg,96.0
91,hc,gaussian,5,6,,2.5,mean,97.0
92,hc,gaussian,5,7,,0.5,min,100.0
92,hc,gaussian,5,7,,0.5,max,100.0
92,hc,gaussian,5,7,,0.5,avg,100.0
92,hc,gaussian,5,7,,0.5,mean,100.0
93,hc,gaussian,5,7,,1.0,min,100.0
