id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,init_method,accuracy
63,gmm,gaussian,4,5,,2.5,uniform,99.7
63,gmm,gaussian,4,5,,2.5,stratified,99.7
64,gmm,gaussian,4,6,,0.5,random,81.5
64,gmm,gaussian,4,6,,0.5,kmeans++,100
64,gmm,gaussian,4,6,,0.5,hcm,100
64,gmm,gaussian,4,6,,0.5,uniform,100
64,gmm,gaussian,4,6,,0.5,stratified,100
65,gmm,gaussian,4,6,,1,random,77.9
65,gmm,gaussian,4,6,,1,kmeans++,99.9
65,gmm,gaussian,4,6,,1,hcm,99.9
65,gmm,gaussian,4,6,,1,uniform,99.9
65,gmm,gaussian,4,6,,1,stratified,83.1
66,gmm,gaussian,4,6,,2,random,81.5
66,gmm,gaussian,4,6,,2,kmeans++,97.5
66,gmm,gaussian,4,6,,2,hcm,97.5
66,gmm,gaussian,4,6,,2,uniform,97.5
66,gmm,gaussian,4,6,,2,stratified,83
67,gmm,gaussian,4,6,,2.5,random,82.1
67,gmm,gaussian,4,6,,2.5,kmeans++,95.2
67,gmm,gaussian,4,6,,2.5,hcm,95
67,gmm,gaussian,4,6,,2.5,uniform,85.5
67,gmm,gaussian,4,6,,2.5,stratified,78.8
68,gmm,gaussian,4,7,,0.5,random,83.2
68,gmm,gaussian,4,7,,0.5,kmeans++,100
68,gmm,gaussian,4,7,,0.5,hcm,100
68,gmm,gaussian,4,7,,0.5,uniform,100
68,gmm,gaussian,4,7,,0.5,stratified,62.1
69,gmm,gaussian,4,7,,1,random,83.1
69,gmm,gaussian,4,7,,1,kmeans++,99.9
69,gmm,gaussian,4,7,,1,hcm,99.9
69,gmm,gaussian,4,7,,1,uniform,99.9
69,gmm,gaussian,4,7,,1,stratified,84
70,gmm,gaussian,4,7,,2,random,80.6
70,gmm,gaussian,4,7,,2,kmeans++,97.8
70,gmm,gaussian,4,7,,2,hcm,97.8
70,gmm,gaussian,4,7,,2,uniform,97.8
70,gmm,gaussian,4,7,,2,stratified,85.2
71,gmm,gaussian,4,7,,2.5,random,78.2
71,gmm,gaussian,4,7,,2.5,kmeans++,93
71,gmm,gaussian,4,7,,2.5,hcm,93
71,gmm,gaussian,4,7,,2.5,uniform,89.4
71,gmm,gaussian,4,7,,2.5,stratified,84
72,gmm,gaussian,5,2,,0.5,random,100
72,gmm,gaussian,5,2,,0.5,kmeans++,100
72,gmm,gaussian,5,2,,0.5,hcm,100
72,gmm,gaussian,5,2,,0.5,uniform,100
72,gmm,gaussian,5,2,,0.5,stratified,100
73,gmm,gaussian,5,2,,1,random,100
73,gmm,gaussian,5,2,,1,kmeans++,100
73,gmm,gaussian,5,2,,1,hcm,100
73,gmm,gaussian,5,2,,1,uniform,100
73,gmm,gaussian,5,2,,1,stratified,100
74,gmm,gaussian,5,2,,2,random,100
74,gmm,gaussian,5,2,,2,kmeans++,100
74,gmm,gaussian,5,2,,2,hcm,100
74,gmm,gaussian,5,2,,2,uniform,100
74,gmm,gaussian,5,2,,2,stratified,100
75,gmm,gaussian,5,2,,2.5,random,100
75,gmm,gaussian,5,2,,2.5,kmeans++,100
75,gmm,gaussian,5,2,,2.5,hcm,100
75,gmm,gaussian,5,2,,2.5,uniform,100
75,gmm,gaussian,5,2,,2.5,stratified,100
76,gmm,gaussian,5,3,,0.5,random,56
76,gmm,gaussian,5,3,,0.5,kmeans++,100
76,gmm,gaussian,5,3,,0.5,hcm,100
76,gmm,gaussian,5,3,,0.5,uniform,100
76,gmm,gaussian,5,3,,0.5,stratified,58.3
77,gmm,gaussian,5,3,,1,random,54.9
77,gmm,gaussian,5,3,,1,kmeans++,100
77,gmm,gaussian,5,3,,1,hcm,100
77,gmm,gaussian,5,3,,1,uniform,100
77,gmm,gaussian,5,3,,1,stratified,64.5
78,gmm,gaussian,5,3,,2,random,54.5
78,gmm,gaussian,5,3,,2,kmeans++,99.7
