id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,init_method,accuracy
42,gmm,gaussian,3,3,,2.0,kmeans++,51.0
42,gmm,gaussian,3,3,,2.0,hcm,97.39999999999999
42,gmm,gaussian,3,3,,2.0,uniform,97.3
42,gmm,gaussian,3,3,,2.0,stratified,97.3
42,hc,gaussian,3,3,,2.0,,66.7
43,uofc,gaussian,3,3,2.0,2.5,,66.7
43,gmm,gaussian,3,3,,2.5,random,94.5
43,gmm,gaussian,3,3,,2.5,kmeans++,94.89999999999999
43,gmm,gaussian,3,3,,2.5,hcm,94.8
43,gmm,gaussian,3,3,,2.5,uniform,94.8
43,gmm,gaussian,3,3,,2.5,stratified,94.1
43,hc,gaussian,3,3,,2.5,,66.7
44,uofc,gaussian,3,4,4.0,0.5,,100.0
44,gmm,gaussian,3,4,,0.5,random,74.5
44,gmm,gaussian,3,4,,0.5,kmeans++,100.0
44,gmm,gaussian,3,4,,0.5,hcm,100.0
44,gmm,gaussian,3,4,,0.5,uniform,100.0
44,gmm,gaussian,3,4,,0.5,stratified,73.2
44,hc,gaussian,3,4,,0.5,,100.0
45,uofc,gaussian,3,4,4.0,1.0,,100.0
45,gmm,gaussian,3,4,,1.0,random,63.800000000000004
45,gmm,gaussian,3,4,,1.0,kmeans++,100.0
45,gmm,gaussian,3,4,,1.0,hcm,100.0
45,gmm,gaussian,3,4,,1.0,uniform,100.0
45,gmm,gaussian,3,4,,1.0,stratified,74.6
45,hc,gaussian,3,4,,1.0,,100.0
46,uofc,gaussian,3,4,4.0,2.0,,97.89999999999999
46,gmm,gaussian,3,4,,2.0,random,65.5
46,gmm,gaussian,3,4,,2.0,kmeans++,98.2
46,gmm,gaussian,3,4,,2.0,hcm,98.3
46,gmm,gaussian,3,4,,2.0,uniform,98.3
46,gmm,gaussian,3,4,,2.0,stratified,73.2
46,hc,gaussian,3,4,,2.0,,74.9
47,uofc,gaussian,3,4,4.0,2.5,,95.7
